security_id,symbol,yahoo_symbol,market,exchange,country,currency,is_active
US0001,AAPL,AAPL,US_EQUITY,NASDAQ,US,USD,True
US0002,MSFT,MSFT,US_EQUITY,NASDAQ,US,USD,True
US0003,AMZN,AMZN,US_EQUITY,NASDAQ,US,USD,True
US0004,GOOGL,GOOGL,US_EQUITY,NASDAQ,US,USD,True
US0005,GOOG,GOOG,US_EQUITY,NASDAQ,US,USD,True
US0006,META,META,US_EQUITY,NASDAQ,US,USD,True
US0007,NVDA,NVDA,US_EQUITY,NASDAQ,US,USD,True
US0008,TSLA,TSLA,US_EQUITY,NASDAQ,US,USD,True
US0009,BRK-B,BRK-B,US_EQUITY,NYSE,US,USD,True
US0010,JPM,JPM,US_EQUITY,NYSE,US,USD,True
US0011,JNJ,JNJ,US_EQUITY,NYSE,US,USD,True
US0012,V,V,US_EQUITY,NYSE,US,USD,True
US0013,PG,PG,US_EQUITY,NYSE,US,USD,True
US0014,XOM,XOM,US_EQUITY,NYSE,US,USD,True
US0015,UNH,UNH,US_EQUITY,NYSE,US,USD,True
US0016,HD,HD,US_EQUITY,NYSE,US,USD,True
US0017,MA,MA,US_EQUITY,NYSE,US,USD,True
US0018,BAC,BAC,US_EQUITY,NYSE,US,USD,True
US0019,ABBV,ABBV,US_EQUITY,NYSE,US,USD,True
US0020,PFE,PFE,US_EQUITY,NYSE,US,USD,True
US0021,KO,KO,US_EQUITY,NYSE,US,USD,True
US0022,PEP,PEP,US_EQUITY,NYSE,US,USD,True
US0023,CVX,CVX,US_EQUITY,NYSE,US,USD,True
US0024,MRK,MRK,US_EQUITY,NYSE,US,USD,True
US0025,COST,COST,US_EQUITY,NYSE,US,USD,True
US0026,WMT,WMT,US_EQUITY,NYSE,US,USD,True
US0027,AVGO,AVGO,US_EQUITY,NASDAQ,US,USD,True
US0028,CSCO,CSCO,US_EQUITY,NASDAQ,US,USD,True
US0029,ADBE,ADBE,US_EQUITY,NASDAQ,US,USD,True
US0030,NFLX,NFLX,US_EQUITY,NASDAQ,US,USD,True
US0031,CRM,CRM,US_EQUITY,NYSE,US,USD,True
US0032,MCD,MCD,US_EQUITY,NYSE,US,USD,True
US0033,ABT,ABT,US_EQUITY,NYSE,US,USD,True
US0034,TMO,TMO,US_EQUITY,NYSE,US,USD,True
US0035,DHR,DHR,US_EQUITY,NYSE,US,USD,True
US0036,ACN,ACN,US_EQUITY,NYSE,US,USD,True
US0037,VZ,VZ,US_EQUITY,NYSE,US,USD,True
US0038,CMCSA,CMCSA,US_EQUITY,NASDAQ,US,USD,True
US0039,INTC,INTC,US_EQUITY,NASDAQ,US,USD,True
US0040,NKE,NKE,US_EQUITY,NYSE,US,USD,True
US0041,LIN,LIN,US_EQUITY,NYSE,US,USD,True
US0042,AMD,AMD,US_EQUITY,NASDAQ,US,USD,True
US0043,QCOM,QCOM,US_EQUITY,NASDAQ,US,USD,True
US0044,TXN,TXN,US_EQUITY,NASDAQ,US,USD,True
US0045,HON,HON,US_EQUITY,NYSE,US,USD,True
US0046,PM,PM,US_EQUITY,NYSE,US,USD,True
US0047,ORCL,ORCL,US_EQUITY,NYSE,US,USD,True
US0048,IBM,IBM,US_EQUITY,NYSE,US,USD,True
US0049,AMAT,AMAT,US_EQUITY,NASDAQ,US,USD,True
US0050,GE,GE,US_EQUITY,NYSE,US,USD,True
US0051,LOW,LOW,US_EQUITY,NYSE,US,USD,True
US0052,UPS,UPS,US_EQUITY,NYSE,US,USD,True
US0053,MS,MS,US_EQUITY,NYSE,US,USD,True
US0054,INTU,INTU,US_EQUITY,NASDAQ,US,USD,True
US0055,SBUX,SBUX,US_EQUITY,NASDAQ,US,USD,True
US0056,BLK,BLK,US_EQUITY,NYSE,US,USD,True
US0057,C,C,US_EQUITY,NYSE,US,USD,True
US0058,DE,DE,US_EQUITY,NYSE,US,USD,True
US0059,CAT,CAT,US_EQUITY,NYSE,US,USD,True
US0060,GS,GS,US_EQUITY,NYSE,US,USD,True
US0061,SPGI,SPGI,US_EQUITY,NYSE,US,USD,True
US0062,NOW,NOW,US_EQUITY,NYSE,US,USD,True
US0063,BKNG,BKNG,US_EQUITY,NASDAQ,US,USD,True
US0064,RTX,RTX,US_EQUITY,NYSE,US,USD,True
US0065,BA,BA,US_EQUITY,NYSE,US,USD,True
US0066,ELV,ELV,US_EQUITY,NYSE,US,USD,True
US0067,PLD,PLD,US_EQUITY,NYSE,US,USD,True
US0068,ISRG,ISRG,US_EQUITY,NASDAQ,US,USD,True
US0069,MDT,MDT,US_EQUITY,NYSE,US,USD,True
US0070,GILD,GILD,US_EQUITY,NASDAQ,US,USD,True
US0071,SCHW,SCHW,US_EQUITY,NYSE,US,USD,True
US0072,LMT,LMT,US_EQUITY,NYSE,US,USD,True
US0073,MMC,MMC,US_EQUITY,NYSE,US,USD,True
US0074,ADP,ADP,US_EQUITY,NASDAQ,US,USD,True
US0075,TGT,TGT,US_EQUITY,NYSE,US,USD,True
US0076,CB,CB,US_EQUITY,NYSE,US,USD,True
US0077,MO,MO,US_EQUITY,NYSE,US,USD,True
US0078,AXP,AXP,US_EQUITY,NYSE,US,USD,True
US0079,SYK,SYK,US_EQUITY,NYSE,US,USD,True
US0080,ZTS,ZTS,US_EQUITY,NYSE,US,USD,True
US0081,TMUS,TMUS,US_EQUITY,NASDAQ,US,USD,True
US0082,MDLZ,MDLZ,US_EQUITY,NASDAQ,US,USD,True
US0083,CL,CL,US_EQUITY,NYSE,US,USD,True
US0084,USB,USB,US_EQUITY,NYSE,US,USD,True
US0085,FISV,FISV,US_EQUITY,NASDAQ,US,USD,True
US0086,CI,CI,US_EQUITY,NYSE,US,USD,True
US0087,PGR,PGR,US_EQUITY,NYSE,US,USD,True
US0088,BDX,BDX,US_EQUITY,NYSE,US,USD,True
US0089,EOG,EOG,US_EQUITY,NYSE,US,USD,True
US0090,SO,SO,US_EQUITY,NYSE,US,USD,True
US0091,D,D,US_EQUITY,NYSE,US,USD,True
US0092,DUK,DUK,US_EQUITY,NYSE,US,USD,True
US0093,CSX,CSX,US_EQUITY,NASDAQ,US,USD,True
US0094,NSC,NSC,US_EQUITY,NYSE,US,USD,True
US0095,FDX,FDX,US_EQUITY,NYSE,US,USD,True
US0096,PNC,PNC,US_EQUITY,NYSE,US,USD,True
US0097,AON,AON,US_EQUITY,NYSE,US,USD,True
US0098,ICE,ICE,US_EQUITY,NYSE,US,USD,True
US0099,EQIX,EQIX,US_EQUITY,NYSE,US,USD,True
US0100,WM,WM,US_EQUITY,NYSE,US,USD,True
IN0001,RELIANCE,RELIANCE.NS,IN_EQUITY,NSE,IN,INR,True
IN0002,TCS,TCS.NS,IN_EQUITY,NSE,IN,INR,True
IN0003,HDFCBANK,HDFCBANK.NS,IN_EQUITY,NSE,IN,INR,True
IN0004,ICICIBANK,ICICIBANK.NS,IN_EQUITY,NSE,IN,INR,True
IN0005,INFY,INFY.NS,IN_EQUITY,NSE,IN,INR,True
IN0006,HINDUNILVR,HINDUNILVR.NS,IN_EQUITY,NSE,IN,INR,True
IN0007,ITC,ITC.NS,IN_EQUITY,NSE,IN,INR,True
IN0008,SBIN,SBIN.NS,IN_EQUITY,NSE,IN,INR,True
IN0009,BHARTIARTL,BHARTIARTL.NS,IN_EQUITY,NSE,IN,INR,True
IN0010,KOTAKBANK,KOTAKBANK.NS,IN_EQUITY,NSE,IN,INR,True
IN0011,LT,LT.NS,IN_EQUITY,NSE,IN,INR,True
IN0012,AXISBANK,AXISBANK.NS,IN_EQUITY,NSE,IN,INR,True
IN0013,ASIANPAINT,ASIANPAINT.NS,IN_EQUITY,NSE,IN,INR,True
IN0014,MARUTI,MARUTI.NS,IN_EQUITY,NSE,IN,INR,True
IN0015,BAJFINANCE,BAJFINANCE.NS,IN_EQUITY,NSE,IN,INR,True
IN0016,HCLTECH,HCLTECH.NS,IN_EQUITY,NSE,IN,INR,True
IN0017,SUNPHARMA,SUNPHARMA.NS,IN_EQUITY,NSE,IN,INR,True
IN0018,NTPC,NTPC.NS,IN_EQUITY,NSE,IN,INR,True
IN0019,ULTRACEMCO,ULTRACEMCO.NS,IN_EQUITY,NSE,IN,INR,True
IN0020,TITAN,TITAN.NS,IN_EQUITY,NSE,IN,INR,True
IN0021,TATAMOTORS,TATAMOTORS.NS,IN_EQUITY,NSE,IN,INR,True
IN0022,POWERGRID,POWERGRID.NS,IN_EQUITY,NSE,IN,INR,True
IN0023,M&M,M&M.NS,IN_EQUITY,NSE,IN,INR,True
IN0024,NESTLEIND,NESTLEIND.NS,IN_EQUITY,NSE,IN,INR,True
IN0025,WIPRO,WIPRO.NS,IN_EQUITY,NSE,IN,INR,True
IN0026,BAJAJFINSV,BAJAJFINSV.NS,IN_EQUITY,NSE,IN,INR,True
IN0027,ADANIENT,ADANIENT.NS,IN_EQUITY,NSE,IN,INR,True
IN0028,ADANIPORTS,ADANIPORTS.NS,IN_EQUITY,NSE,IN,INR,True
IN0029,ONGC,ONGC.NS,IN_EQUITY,NSE,IN,INR,True
IN0030,COALINDIA,COALINDIA.NS,IN_EQUITY,NSE,IN,INR,True
IN0031,HINDALCO,HINDALCO.NS,IN_EQUITY,NSE,IN,INR,True
IN0032,TECHM,TECHM.NS,IN_EQUITY,NSE,IN,INR,True
IN0033,JSWSTEEL,JSWSTEEL.NS,IN_EQUITY,NSE,IN,INR,True
IN0034,INDUSINDBK,INDUSINDBK.NS,IN_EQUITY,NSE,IN,INR,True
IN0035,GRASIM,GRASIM.NS,IN_EQUITY,NSE,IN,INR,True
IN0036,TATASTEEL,TATASTEEL.NS,IN_EQUITY,NSE,IN,INR,True
IN0037,DRREDDY,DRREDDY.NS,IN_EQUITY,NSE,IN,INR,True
